,precision,recall,f1-score,support
0,0.9998523283959654,0.9376911775331775,0.9677746118256082,166076.0
1,0.056269949840401276,0.9640625,0.1063334769495907,640.0
accuracy,0.9377924134456201,0.9377924134456201,0.9377924134456201,0.9377924134456201
macro avg,0.5280611391181833,0.9508768387665888,0.5370540443875994,166716.0
weighted avg,0.9962300442584167,0.9377924134456201,0.9644676567263938,166716.0
