False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0,0.0024630541871921183,0.9998173
0.0,0.019704433497536946,0.99971896
0.0,0.027093596059113302,0.99971575
0.0,0.06403940886699508,0.9996271
0.0,0.06896551724137931,0.99961996
0.0,0.7266009852216748,0.98587066
0.0022123893805309734,0.7266009852216748,0.98577523
0.0022123893805309734,0.8004926108374384,0.805767
0.004424778761061947,0.8004926108374384,0.7889406
0.004424778761061947,0.8399014778325123,0.623754
0.00663716814159292,0.8399014778325123,0.6236356
0.00663716814159292,0.854679802955665,0.5158157
0.008849557522123894,0.854679802955665,0.5038376
0.008849557522123894,0.8620689655172413,0.4593908
0.011061946902654867,0.8620689655172413,0.42589584
0.011061946902654867,0.8645320197044335,0.42253265
0.01327433628318584,0.8645320197044335,0.40643936
0.01327433628318584,0.8719211822660099,0.38071862
0.015486725663716814,0.8719211822660099,0.37828687
0.015486725663716814,0.8768472906403941,0.35334918
0.017699115044247787,0.8768472906403941,0.35124525
0.017699115044247787,0.8817733990147784,0.3371259
0.01991150442477876,0.8817733990147784,0.33409494
0.01991150442477876,0.8866995073891626,0.3055359
0.022123893805309734,0.8866995073891626,0.2880259
0.022123893805309734,0.8891625615763546,0.27660424
0.024336283185840708,0.8891625615763546,0.2683177
0.024336283185840708,0.9039408866995073,0.20844784
0.02654867256637168,0.9039408866995073,0.20669453
0.02654867256637168,0.9113300492610837,0.18472509
0.033185840707964605,0.9113300492610837,0.16953869
0.033185840707964605,0.916256157635468,0.14672792
0.0420353982300885,0.916256157635468,0.11803989
0.0420353982300885,0.9261083743842364,0.10144611
0.048672566371681415,0.9261083743842364,0.099151775
0.048672566371681415,0.9285714285714286,0.09767219
0.05088495575221239,0.9285714285714286,0.09390752
0.05088495575221239,0.9359605911330049,0.083402164
0.05530973451327434,0.9359605911330049,0.08167707
0.05530973451327434,0.9384236453201971,0.07907601
0.05752212389380531,0.9384236453201971,0.07679987
0.05752212389380531,0.9433497536945813,0.07236941
0.059734513274336286,0.9433497536945813,0.07018384
0.059734513274336286,0.9482758620689655,0.067443825
0.061946902654867256,0.9482758620689655,0.06633883
0.061946902654867256,0.9507389162561576,0.06616678
0.06415929203539823,0.9507389162561576,0.065089725
0.06415929203539823,0.9532019704433498,0.0625677
0.06637168141592921,0.9532019704433498,0.061785772
0.06637168141592921,0.9556650246305419,0.061035886
0.06858407079646017,0.9556650246305419,0.060725994
0.06858407079646017,0.9630541871921182,0.05927775
0.08185840707964602,0.9630541871921182,0.05474658
0.08185840707964602,0.9704433497536946,0.049738538
0.09513274336283185,0.9704433497536946,0.043798223
0.09513274336283185,0.9729064039408867,0.042901825
0.10176991150442478,0.9729064039408867,0.038461052
0.10176991150442478,0.9802955665024631,0.034166742
0.11283185840707964,0.9802955665024631,0.033027023
0.11283185840707964,0.9827586206896551,0.03238726
0.12389380530973451,0.9827586206896551,0.029176656
0.12389380530973451,0.9876847290640394,0.025893427
0.12831858407079647,0.9876847290640394,0.02479944
0.12831858407079647,0.9901477832512315,0.023861304
0.13274336283185842,0.9901477832512315,0.02261484
0.13274336283185842,0.9926108374384236,0.021655267
0.14380530973451328,0.9926108374384236,0.018741399
0.14380530973451328,0.9950738916256158,0.018595485
0.14823008849557523,0.9950738916256158,0.018247994
0.14823008849557523,0.9975369458128078,0.018009065
0.29867256637168144,0.9975369458128078,0.004369649
0.29867256637168144,1.0,0.0042366255
1.0,1.0,0.00012206187
