,precision,recall,f1-score,support
0,0.8853754940711462,0.9911504424778761,0.9352818371607515,452.0
1,0.9886363636363636,0.8571428571428571,0.9182058047493403,406.0
accuracy,0.9277389277389277,0.9277389277389277,0.9277389277389277,0.9277389277389277
macro avg,0.9370059288537549,0.9241466498103665,0.9267438209550459,858.0
weighted avg,0.9342378635856897,0.9277389277389277,0.9272015700756315,858.0
